<nGateways>,<nEndDevices>,<totalTime>,<drCalcMethod>,<drCalcMethodMisc>,<seed>,<usDataPeriod>,<nodeId>,<tranmissionsDeliveredForNode>,<tranmissionsSentForNode>,<PDRForNode>
1,1000,301,0,0.01,31088,300,1,0,1,0.0
1,1000,301,0,0.01,31088,300,2,1,1,1.0
1,1000,301,0,0.01,31088,300,3,1,1,1.0
1,1000,301,0,0.01,31088,300,4,1,1,1.0
1,1000,301,0,0.01,31088,300,5,1,1,1.0
1,1000,301,0,0.01,31088,300,6,1,1,1.0
1,1000,301,0,0.01,31088,300,7,1,1,1.0
1,1000,301,0,0.01,31088,300,8,1,1,1.0
1,1000,301,0,0.01,31088,300,9,0,1,0.0
1,1000,301,0,0.01,31088,300,10,1,1,1.0
1,1000,301,0,0.01,31088,300,11,1,1,1.0
1,1000,301,0,0.01,31088,300,12,1,1,1.0
1,1000,301,0,0.01,31088,300,13,1,1,1.0
1,1000,301,0,0.01,31088,300,14,1,1,1.0
1,1000,301,0,0.01,31088,300,15,1,1,1.0
1,1000,301,0,0.01,31088,300,16,1,1,1.0
1,1000,301,0,0.01,31088,300,17,1,1,1.0
1,1000,301,0,0.01,31088,300,18,1,1,1.0
1,1000,301,0,0.01,31088,300,19,1,1,1.0
1,1000,301,0,0.01,31088,300,20,1,1,1.0
1,1000,301,0,0.01,31088,300,21,1,1,1.0
1,1000,301,0,0.01,31088,300,22,1,1,1.0
1,1000,301,0,0.01,31088,300,23,0,1,0.0
1,1000,301,0,0.01,31088,300,24,1,1,1.0
1,1000,301,0,0.01,31088,300,25,1,1,1.0
1,1000,301,0,0.01,31088,300,26,1,1,1.0
1,1000,301,0,0.01,31088,300,27,1,1,1.0
1,1000,301,0,0.01,31088,300,28,1,1,1.0
1,1000,301,0,0.01,31088,300,29,0,1,0.0
1,1000,301,0,0.01,31088,300,30,1,1,1.0
1,1000,301,0,0.01,31088,300,31,0,1,0.0
1,1000,301,0,0.01,31088,300,32,1,1,1.0
1,1000,301,0,0.01,31088,300,33,1,1,1.0
1,1000,301,0,0.01,31088,300,34,1,1,1.0
1,1000,301,0,0.01,31088,300,35,1,1,1.0
1,1000,301,0,0.01,31088,300,36,1,1,1.0
1,1000,301,0,0.01,31088,300,37,1,1,1.0
1,1000,301,0,0.01,31088,300,38,1,1,1.0
1,1000,301,0,0.01,31088,300,39,0,1,0.0
1,1000,301,0,0.01,31088,300,40,1,1,1.0
1,1000,301,0,0.01,31088,300,41,1,1,1.0
1,1000,301,0,0.01,31088,300,42,1,1,1.0
1,1000,301,0,0.01,31088,300,43,1,1,1.0
1,1000,301,0,0.01,31088,300,44,1,1,1.0
1,1000,301,0,0.01,31088,300,45,1,1,1.0
1,1000,301,0,0.01,31088,300,46,1,1,1.0
1,1000,301,0,0.01,31088,300,47,1,1,1.0
1,1000,301,0,0.01,31088,300,48,1,1,1.0
1,1000,301,0,0.01,31088,300,49,1,1,1.0
1,1000,301,0,0.01,31088,300,50,0,1,0.0
1,1000,301,0,0.01,31088,300,51,0,1,0.0
1,1000,301,0,0.01,31088,300,52,0,1,0.0
1,1000,301,0,0.01,31088,300,53,1,1,1.0
1,1000,301,0,0.01,31088,300,54,1,1,1.0
1,1000,301,0,0.01,31088,300,55,1,1,1.0
1,1000,301,0,0.01,31088,300,56,1,1,1.0
1,1000,301,0,0.01,31088,300,57,0,1,0.0
1,1000,301,0,0.01,31088,300,58,1,1,1.0
