Time,DeviceType,NodeId,IfIndex,MacIndex,TraceSource,OldState,NewState
0.007258518,1,4687,0,0,MacState,0,1
0.062735684,1,240,0,0,MacState,0,1
0.070185869,1,3912,0,0,MacState,0,1
0.117653288,1,2635,0,0,MacState,0,1
0.175887684,1,240,0,0,MacState,1,2
0.179349288,1,2635,0,0,MacState,1,2
0.276009869,1,3912,0,0,MacState,1,2
0.315529286,1,252,0,0,MacState,0,1
0.377225286,1,252,0,0,MacState,1,2
0.377946518,1,4687,0,0,MacState,1,2
0.420270950,1,3736,0,0,MacState,0,1
0.533422950,1,3736,0,0,MacState,1,2
0.547344031,1,2818,0,0,MacState,0,1
0.559589852,1,1359,0,0,MacState,0,1
0.580666079,1,2730,0,0,MacState,0,1
0.588780739,1,3951,0,0,MacState,0,1
0.621285852,1,1359,0,0,MacState,1,2
0.642362079,1,2730,0,0,MacState,1,2
0.670739551,1,2466,0,0,MacState,0,1
0.687098652,1,2012,0,0,MacState,0,1
0.701932739,1,3951,0,0,MacState,1,2
0.726617442,1,4370,0,0,MacState,0,1
0.748794652,1,2012,0,0,MacState,1,2
0.777644655,1,1203,0,0,MacState,0,1
0.783891551,1,2466,0,0,MacState,1,2
0.788313442,1,4370,0,0,MacState,1,2
0.821056419,1,207,0,0,MacState,0,1
0.839340655,1,1203,0,0,MacState,1,2
0.862004184,1,4672,0,0,MacState,0,1
0.882752419,1,207,0,0,MacState,1,2
0.918032031,1,2818,0,0,MacState,1,2
0.923700184,1,4672,0,0,MacState,1,2
0.940776196,1,167,0,0,MacState,0,1
0.941264232,1,1022,0,0,MacState,0,1
0.999018132,1,306,0,0,MacState,0,1
1.002472196,1,167,0,0,MacState,1,2
1.002960232,1,1022,0,0,MacState,1,2
1.060199672,1,2996,0,0,MacState,0,1
1.060714132,1,306,0,0,MacState,1,2
1.061532115,1,46,0,0,MacState,0,1
1.098750771,1,389,0,0,MacState,0,1
1.174684115,1,46,0,0,MacState,1,2
1.175887684,1,240,0,0,MacState,2,3
1.179349288,1,2635,0,0,MacState,2,3
1.191893288,1,2635,0,0,MacState,3,4
1.198641548,1,1053,0,0,MacState,0,1
1.241762460,1,4037,0,0,MacState,0,1
1.276009869,1,3912,0,0,MacState,2,3
1.282169033,1,2739,0,0,MacState,0,1
1.311793548,1,1053,0,0,MacState,1,2
1.311794043,1,240,0,0,MacState,3,4
1.326185869,1,3912,0,0,MacState,3,4
1.343865033,1,2739,0,0,MacState,1,2
1.354914460,1,4037,0,0,MacState,1,2
1.359006781,1,1582,0,0,MacState,0,1
1.377225286,1,252,0,0,MacState,2,3
1.377946518,1,4687,0,0,MacState,2,3
1.389769286,1,252,0,0,MacState,3,4
1.421569659,1,2125,0,0,MacState,0,1
1.469438771,1,389,0,0,MacState,1,2
1.472158781,1,1582,0,0,MacState,1,2
1.478298518,1,4687,0,0,MacState,3,4
1.483265659,1,2125,0,0,MacState,1,2
1.523700081,1,2522,0,0,MacState,0,1
1.533422950,1,3736,0,0,MacState,2,3
1.558510950,1,3736,0,0,MacState,3,4
1.621285852,1,1359,0,0,MacState,2,3
